2019-12-01 21:34:42,"b'Gracias a todos los segovianos, a turismo de #Segovia, a la Academia de Artiller\xc3\xada, a todos los cantantes, al\xe2\x80\xa6 https://t.co/ikhjmMgm28'"
2019-12-01 21:34:06,"b'Se cree muy ""graciosa"" y cae en las m\xc3\xa1s asquerosa VULGARIDAD\xf0\x9f\xa4\x91\xf0\x9f\xa4\x91. Definitivamente, la ""clase"" no es su fuerte. En fin\xe2\x80\xa6 https://t.co/sVA66GKGmv'"
2019-12-01 21:34:01,"b'RT @JLAceves: \xf0\x9f\x94\xb4 La Junta quiere cerrar 6 de cada 10 consultorios m\xc3\xa9dicos de Castilla y Le\xc3\xb3n, 118 en provincia de #Segovia \n\n\xe2\x9a\xa0\xef\xb8\x8f Siguen los r\xe2\x80\xa6'"
2019-12-01 21:33:02,b'Ganadores de la Fase Auton\xc3\xb3mica de Castilla y Le\xc3\xb3n y del IV Certamen Ciudad de Salamanca: \n-Primer clasificado: Gin\xe2\x80\xa6 https://t.co/Iha5FocNs9'
2019-12-01 21:32:48,b'RT @joseantoniokast: Ni Tonka ni ningun animador de #Canal13Censura ha alzado la voz cuando Karol Cariola relativiza las violaciones a los\xe2\x80\xa6'
2019-12-01 21:32:00,b'@ Mutuals de salamanca me aburro venid a ver pelis conmigo hostia'
2019-12-01 21:31:59,b'\xc2\xa1Disfruta de esta experiencia en la que dar\xc3\xa1s un paseo a caballo disfrutando del entorno natural de los bosques de\xe2\x80\xa6 https://t.co/I8Bq8s1qwD'
2019-12-01 21:31:32,b'@EvDB15 Muy de acuerdo con que vengas a Salamanca'
2019-12-01 21:31:28,"b'""Salamanca que enhechiza a voluntad de volver a ella a todos los que de la apacibilidad de su vivienda han gustado...""\n\nPfff...'"
2019-12-01 21:30:56,b'RT @LenadorVidanes: El alcalde de #Vegacervera esconde la bandera de Le\xc3\xb3n para no poner nervioso a @luistudanca As\xc3\xad es como demuestran otro\xe2\x80\xa6'
2019-12-01 21:30:52,b'@SrtaHaush No se por quien lo dices porque t\xc3\xba eres Preciosa pero BUENO Y CHIT\xc3\x93N QUE VOY A SALAMANCA A TIRARTE DE LAS OREJAS \xf0\x9f\xa4\xac\xf0\x9f\x98\xa1'
2019-12-01 21:30:50,"b'RT @signoresalieri: Obispo de Salamanca, a\xc3\xb1os treinta, refiri\xc3\xa9ndose a los maestros y maestras de la Rep\xc3\xbablica antes de que el Franquismo lo\xe2\x80\xa6'"
2019-12-01 21:30:39,b'RT @elhocicoorg: Necesitamos acogida para Dulce.\nEs muy buena y tranquila. Si puedes hacerle un huequito en tu casa hasta que aparezca su f\xe2\x80\xa6'
2019-12-01 21:30:16,b'@Raquel_Mateor A Salamanca?? Nosotras quer\xc3\xadamos ir pero nos ha dicho todo el mundo que ni se nos ocurra que es lo p\xe2\x80\xa6 https://t.co/OAoUGgNtHF'
2019-12-01 21:30:12,b'RT @elhocicoorg: Necesitamos acogida para Dulce.\nEs muy buena y tranquila. Si puedes hacerle un huequito en tu casa hasta que aparezca su f\xe2\x80\xa6'
2019-12-01 21:30:02,b'RT @LenadorVidanes: El alcalde de #Vegacervera esconde la bandera de Le\xc3\xb3n para no poner nervioso a @luistudanca As\xc3\xad es como demuestran otro\xe2\x80\xa6'
2019-12-01 21:30:00,"b""Inauguraci\xc3\xb3n de la ruta 'Viviendo el Tormes' del Voluntariado Verde en Villagonzalo #Salamanca @dipusalamanca @usal  https://t.co/LtDUg3OZoA"""
2019-12-01 21:29:56,b'RT @elhocicoorg: Necesitamos acogida para Dulce.\nEs muy buena y tranquila. Si puedes hacerle un huequito en tu casa hasta que aparezca su f\xe2\x80\xa6'
2019-12-01 21:29:24,"b'RT @MartaVALLDOLID: Hoy en Gomezserracin, Segovia, la gente ya no aguanta m\xc3\xa1s abusos contra su agua. Ahora la industria agraria depredadora\xe2\x80\xa6'"
2019-12-01 21:28:21,b'RT @LenadorVidanes: El alcalde de #Vegacervera esconde la bandera de Le\xc3\xb3n para no poner nervioso a @luistudanca As\xc3\xad es como demuestran otro\xe2\x80\xa6'
2019-12-01 21:28:10,b'UNIVERSIDAD | \xe2\x80\x8bLa Universidad de Salamanca dise\xc3\xb1a un kit para el diagn\xc3\xb3stico molecular r\xc3\xa1pido y sencillo de enferme\xe2\x80\xa6 https://t.co/VWrPwGgLtD'
2019-12-01 21:28:03,b'RT @DecideSegovia: \xe2\x9b\x94FUERA LAS CASAS DE APUESTAS DE NUESTROS BARRIOS\xe2\x9b\x94\n\n\xf0\x9f\x9a\xa9\xf0\x9f\x93\xa2 Recorrido por los salones de juego de Segovia:\xe2\x9e\xa1 Cristo del Mercado\xe2\x80\xa6'
2019-12-01 21:27:57,"b'RT @albermg: Sab\xc3\xadan que, pasara lo que pasara esta jornada, su equipo @UnionistasCF seguir\xc3\xada siendo el colista de la categor\xc3\xada. Pero llenar\xe2\x80\xa6'"
2019-12-01 21:27:54,"b'RT @Lobo41015: A m\xc3\xad me han cantado ""a Segunda"" en Valladolid, Salamanca o Albacete. Repito: Valladolid, Salamanca o Albacete. Hay que viaja\xe2\x80\xa6'"
2019-12-01 21:27:34,"b'@CFKArgentina Esta foto de tu whasts App, quieren imitarte, pero nunca igualarte, por el solo hecho que tu intelige\xe2\x80\xa6 https://t.co/2QxGJUxdMs'"
2019-12-01 21:27:27,b'RT @Zalameryy: Necesito un concierto de Go Roneo en Segovia YA @Go_Roneo'
2019-12-01 21:27:15,"b'No soy torpe, soy cari\xc3\xb1oso, y me gusta abrazar el suelo cuando me lo pide \xf0\x9f\x90\xbb en Plaza Mayor De Salamanca https://t.co/Y14ktYI0iv'"
2019-12-01 21:27:13,"b'RT @Lobo41015: A m\xc3\xad me han cantado ""a Segunda"" en Valladolid, Salamanca o Albacete. Repito: Valladolid, Salamanca o Albacete. Hay que viaja\xe2\x80\xa6'"
